chunk_id,theta_deg,phi_deg,M,gmin_Ainv,r_mrad,inner_ring
event://388,134.44,90.16,0,inf,inf,0
event://390,131.88,89.93,0,inf,inf,0
event://389,46.77,269.99,0,inf,inf,0
event://391,33.38,270.28,0,inf,inf,0
event://393,146.47,89.77,0,inf,inf,0
event://392,33.36,270.19,0,inf,inf,0
event://394,33.91,269.81,0,inf,inf,0
event://399,35.86,270.04,0,inf,inf,0
event://396,34.34,270.05,0,inf,inf,0
event://395,34.03,269.85,0,inf,inf,0
event://400,143.75,89.78,0,inf,inf,0
event://398,35.16,270.15,0,inf,inf,0
event://397,145.35,89.80,0,inf,inf,0
event://401,143.06,90.04,0,inf,inf,0
event://407,42.42,270.26,0,inf,inf,0
event://402,37.55,270.03,1,48.7246,278.18,0
event://408,136.31,89.83,0,inf,inf,0
event://406,41.07,270.09,0,inf,inf,0
event://405,140.12,89.68,0,inf,inf,0
event://404,140.84,89.87,0,inf,inf,0
event://409,135.64,90.00,0,inf,inf,0
event://403,38.35,269.93,0,inf,inf,0
event://410,45.38,269.83,0,inf,inf,0
event://411,133.59,90.01,0,inf,inf,0
event://412,47.63,269.99,0,inf,inf,0
event://413,48.98,269.97,0,inf,inf,0
event://414,35.56,269.92,0,inf,inf,0
event://415,35.49,270.26,0,inf,inf,0
event://417,35.60,269.93,0,inf,inf,0
event://416,35.66,270.02,0,inf,inf,0
event://418,36.07,269.93,1,48.4405,276.56,0
event://419,143.89,90.17,0,inf,inf,0
event://420,36.41,270.31,0,inf,inf,0
event://422,37.91,269.87,1,50.0163,285.55,0
event://421,36.77,270.08,0,inf,inf,0
event://423,37.80,269.91,2,46.5395,265.70,0
event://425,39.16,270.00,0,inf,inf,0
event://424,141.56,90.03,0,inf,inf,0
event://426,140.16,89.98,0,inf,inf,0
event://428,41.34,270.02,1,46.9201,267.88,0
event://430,136.28,90.28,0,inf,inf,0
event://431,135.56,90.09,0,inf,inf,0
event://429,42.25,269.58,0,inf,inf,0
event://427,40.52,270.03,0,inf,inf,0
event://432,45.26,270.00,0,inf,inf,0
event://433,133.97,89.96,0,inf,inf,0
event://434,132.95,90.32,0,inf,inf,0
event://435,131.56,90.10,0,inf,inf,0
event://436,130.46,90.05,0,inf,inf,0
event://437,37.36,269.85,0,inf,inf,0
event://439,37.37,269.85,1,49.1147,280.41,0
